video_id,category_id,duration_seconds,upload_hour,upload_dayofweek,is_weekend,early_snapshot_age_hours,early_snapshot_count,early_views,early_likes,early_comments,early_views_per_hour,early_like_rate,early_comment_rate,early_engagement_rate,target_snapshot_age_hours,target_engagement_rate
-0ECJhNocZQ,24.0,557.0,9,6,1,5.941468333333333,27,484,75,10,81.4613447124883,15.495867768595042,2.066115702479339,17.56198347107438,23.94153083333333,3.9512065765049056
-2Qau5p06MI,27.0,599.0,6,3,0,5.943943055555556,30,102,8,1,17.16032590599347,7.84313725490196,0.9803921568627452,8.823529411764707,23.9439575,4.979253112033195
-8Irr9Ah2i4,15.0,179.0,21,1,0,5.879336111111111,32,223455,16779,1111,38006.84223133659,7.5088944082701214,0.4971918283323264,8.006086236602448,24.04593583333333,4.969216982787779
-ATKM6TIgB4,15.0,68.0,22,4,0,5.942038611111111,33,1569,14,0,264.05079177138,0.8922880815806247,0.0,0.8922880815806247,23.94206777777778,0.6608511763150938
-Bfjyx-VaLs,15.0,120.0,20,1,0,5.8620975,26,25568,5026,464,4361.578769373931,19.65738423028786,1.8147684605757195,21.47215269086358,24.02878638888889,15.218964893231997
-PNc2x04kYI,15.0,94.0,21,3,0,5.84398,29,1323,239,4,226.386811727624,18.06500377928949,0.3023431594860166,18.367346938775512,24.01064861111111,17.60154738878143
-oLhWVclsBA,22.0,1173.0,21,0,0,5.941038333333334,27,0,0,0,0.0,0.0,0.0,0.0,23.94092305555556,0.0
-rfWzjPWDsI,15.0,72.0,21,5,1,5.936248055555555,27,4515,678,14,760.5814241159529,15.016611295681065,0.3100775193798449,15.326688815060908,23.93615888888889,9.815407669777263
02C000UAAaE,24.0,721.0,17,2,0,5.938500555555556,24,212,0,0,35.699247312803706,0.0,0.0,0.0,23.93844527777778,0.4694835680751174
0FDZBG2coxA,15.0,57.0,20,6,1,5.969788888888889,27,6678,840,15,1118.632521901947,12.57861635220126,0.224618149146451,12.80323450134771,23.96997388888889,9.105127446421776
0Onkac10C7s,15.0,171.0,20,3,0,5.953238611111111,22,2226,103,1,373.914123960259,4.627133872416891,0.0449236298292902,4.672057502246182,23.953119166666667,3.351524275498683
0Wgk95fmes8,22.0,36186.0,10,4,0,5.945029722222222,33,2,0,0,0.336415475354833,0.0,0.0,0.0,23.94504888888889,0.0
0h9p_1GJ3Zw,27.0,1514.0,4,6,1,5.889808333333334,33,4,1,0,0.679139247598606,25.0,0.0,25.0,24.056560277777777,14.285714285714285
0xx8k_Qm7Lc,27.0,38.0,23,4,0,5.9451325,21,1954,113,3,328.6722373302866,5.783009211873081,0.1535312180143295,5.93654042988741,23.945185833333333,5.702113714566607
0y4SKJSzZnM,15.0,71.0,22,3,0,5.945105277777778,33,3763,232,3,632.9576726026578,6.16529364868456,0.0797236247674727,6.245017273452033,23.94508722222222,3.389830508474576
0zh36b6RZUc,22.0,1321.0,18,0,0,5.9426225,30,1,0,0,0.1682758748347215,0.0,0.0,0.0,23.94261583333333,0.0
11U5r0hS4kU,15.0,82.0,21,1,0,5.933288611111111,29,3712,307,4,625.62269312985,8.270474137931034,0.1077586206896551,8.378232758620689,23.933167777777776,7.355001400952648
12pe7NxQLTU,20.0,1789.0,18,3,0,5.936785,30,18,4,0,3.031944057263317,22.22222222222222,0.0,22.22222222222222,23.936778888888888,22.22222222222222
14auP2vEId4,10.0,305.0,10,0,0,5.94537,34,16,3,0,2.6911697673988333,18.75,0.0,18.75,23.945499166666668,16.666666666666664
1C6lSoNgZ50,15.0,1467.0,22,2,0,5.9367238888888885,33,1591,117,25,267.992925016725,7.353865493400377,1.571338780641106,8.925204274041484,23.93644861111111,3.98406374501992
1HhpDx2ow3A,22.0,18518.0,13,3,0,5.9450675,33,135,4,0,22.7079002887688,2.9629629629629632,0.0,2.9629629629629632,23.94506722222222,2.5052192066805845
1WQ0IGco-nc,15.0,3562.0,21,5,1,5.845130833333334,29,7458,781,50,1275.9338007404167,10.471976401179942,0.6704210244033253,11.142397425583267,24.01173305555556,5.264983133137867
1WRw2kslhqw,17.0,494.0,14,2,0,5.943193055555556,21,0,0,0,0.0,0.0,0.0,0.0,23.94313555555556,0.0
1oDvSJfDR_Y,15.0,20.0,21,5,1,5.838470277777778,27,4026,162,0,689.564185215372,4.023845007451564,0.0,4.023845007451564,24.00504583333333,4.078607267751255
1ttF5YWQa4M,15.0,45.0,20,1,0,5.941301944444445,21,3432,236,6,577.651166712571,6.876456876456877,0.1748251748251748,7.051282051282051,23.94124861111111,5.053405306075572
1weXA_Y4Cc0,22.0,709.0,17,5,1,5.9368525000000005,21,10215,1092,121,1720.6086895370904,10.690161527165932,1.1845325501713166,11.87469407733725,23.93678027777778,4.671753233506059
2-OOGq4DzbE,27.0,240.0,18,3,0,5.943181111111112,27,2,0,0,0.3365201165182208,0.0,0.0,0.0,23.94313194444444,0.0
2KxbNE-r6z8,15.0,2045.0,21,3,0,5.946266666666667,30,8039,1321,11,1351.940713500908,16.43239208856823,0.1368329394203259,16.569225027988555,23.946204166666668,9.21943231441048
2qU0rgUe_cw,27.0,25048.0,11,1,0,5.938929444444445,21,97,0,0,16.33290998106374,0.0,0.0,0.0,23.93895527777778,0.0
