video_id,category_id,duration_seconds,upload_hour,upload_dayofweek,is_weekend,early_snapshot_age_hours,early_snapshot_count,early_views,early_likes,early_comments,early_views_per_hour,early_like_rate,early_comment_rate,early_engagement_rate,target_snapshot_age_hours,target_engagement_rate
0Bxd2gEZTh0,24.0,299,9,2,0,5.908491239,7,36802.0,1203.0,32.0,6228.66287,3.2688440845606217,0.0869517960980381,3.3557958806586603,23.94059036,1.602503387879406
0G1bThtvAXs,10.0,225,0,6,1,5.602962933,1,55702.0,9049.0,975.0,9941.525701,16.245377185738395,1.750385982549998,17.99576316828839,24.02896322,8.254243356701416
0Q0Yb4Livuw,24.0,564,12,1,0,5.950919749,15,29468.0,1544.0,52.0,4951.839588,5.239581919370164,0.1764626035021039,5.4160445228722685,23.9797073,4.201911690069362
0lqacLeyMcI,20.0,4622,4,6,1,1.604351822,1,1512147.0,4286.0,0.0,942528.3031,0.2834380519883318,0.0,0.2834380519883318,24.03466742,0.2649756328159259
1Vqp6szqqMY,20.0,21995,17,6,1,5.946544585,21,711937.0,11428.0,178.0,119722.8054,1.605198212763208,0.0250022122744006,1.6302004250376083,21.37310777,1.607399697982779
1iBDh00xMQw,10.0,202,0,4,0,5.86500861,14,38786.0,5613.0,1195.0,6613.119022,14.471716598772751,3.0810086113546125,17.552725210127367,24.07562099,6.429149509520549
1kQMmVjBQTQ,22.0,3219,22,6,1,5.966185446,7,70016.0,955.0,46.0,11735.47162,1.3639739488117002,0.065699268738574,1.4296732175502742,24.06882197,0.7182731320662356
1utcXN1Gd9o,10.0,71,4,5,1,5.971650621,21,47632.0,4522.0,1287.0,7976.354115,9.493617735975816,2.701965065502184,12.195582801478,24.01894542,11.561383504370962
20E8J4YNfxw,20.0,633,17,1,0,5.882489953,22,52382.0,3874.0,232.0,8904.732592,7.395670268412815,0.4429002329044328,7.838570501317246,24.07950258,6.021583450789447
29COMsbQ2qE,20.0,41367,22,1,0,5.9444687,32,1709539.0,5382.0,0.0,287584.8265,0.3148217150939522,0.0,0.3148217150939522,23.97493533,0.3134803571804547
2I_SZq_vkHg,20.0,626,10,3,0,5.997226144,20,171760.0,2469.0,202.0,28639.90716,1.437470889613414,0.1176059618071728,1.5550768514205868,24.06862659,1.091840664791494
2J23QOUN9Es,10.0,205,4,2,0,5.952176239,8,146700.0,6283.0,277.0,24646.44764,4.282890252215406,0.1888207225630538,4.47171097477846,23.98319004,3.187171483414958
2kcKJu7NfLE,20.0,3750,4,0,0,5.926184102,33,1140587.0,3995.0,0.0,192465.6711,0.3502582442198622,0.0,0.3502582442198622,23.98286771,0.3474292076880858
2yTCadbJcG4,20.0,28115,18,5,1,5.876930046,30,1395184.0,18143.0,105.0,237400.1373,1.3004019541508502,0.0075258890583607,1.3079278432092112,23.92896772,1.2754571794861065
3OVigDp4q6M,20.0,1451,11,1,0,5.839744745,13,152460.0,3793.0,266.0,26107.30548,2.487865669683852,0.1744719926538108,2.662337662337662,24.03526601,2.051634314183919
3Y-5L7XCJ94,20.0,19681,16,6,1,5.925486093,29,4928894.0,322009.0,383.0,831812.6011,6.5330883561301984,0.007770505918772,6.540858862048971,23.94576308,6.374629002264379
48mwlPiDrHk,1.0,77,12,4,0,5.968791215,14,203743.0,5361.0,138.0,34134.71717,2.6312560431524026,0.0677323883519924,2.6989884315043957,24.01347659,1.2252259546343605
4VTu6oWQN3E,10.0,97,5,5,1,5.976892647,3,121878.0,5041.0,804.0,20391.53239,4.136103316431186,0.6596760695121351,4.79577938594332,23.97793503,3.259224332626069
4fZhOFt7xtI,20.0,11455,15,6,1,5.951080272,25,301132.0,19002.0,243.0,50601.23309,6.310189551425953,0.0806955089462428,6.390885060372195,21.54390701,6.285345543218844
4hwJfzUexHQ,22.0,2719,22,6,1,5.949303335,12,91130.0,826.0,27.0,15317.75989,0.9063974541863272,0.0296280039504005,0.9360254581367278,23.97070268,0.5484638948249384
5uXjzvwJFOI,20.0,959,13,6,1,5.989716932,16,269237.0,6006.0,531.0,44949.87043,2.2307483741090564,0.1972240071015499,2.427972381210606,24.00953233,1.7687181597900086
5vMWZhHPlaw,1.0,182,11,1,0,5.923555188,20,5359656.0,121264.0,6360.0,904803.9278,2.2625332670604235,0.1186643321884837,2.3811975992489067,23.95219811,1.4787484880424755
7457LdEDt4I,23.0,165,9,3,0,5.975389241,6,70000.0,2925.0,102.0,11714.71802,4.178571428571429,0.1457142857142857,4.324285714285715,24.04589201,2.0563195407093
7VNabImqM2s,1.0,635,14,5,1,5.839048318,24,168122.0,11333.0,746.0,28792.70574,6.740938128263998,0.4437253898954331,7.184663518159431,23.93005861,5.477744769287654
7o3HZeYIJaA,10.0,4001,6,3,0,5.965199276,11,223025.0,20268.0,1914.0,37387.68643,9.087770429324069,0.8581997533908755,9.94597018271494,24.03411172,8.866064886678611
87uSIcSLymQ,1.0,393,3,0,0,5.77215641,26,88841.0,6960.0,450.0,15391.30157,7.834220686394795,0.50652288920656,8.340743575601355,24.0438417,6.0490415017578
8NiMCt2o-uQ,10.0,158,15,6,1,5.990992203,21,1281888.0,62569.0,4011.0,213969.2319,4.88100364462418,0.3128978506702614,5.193901495294441,23.92434812,3.485286797828634
8t1LG7MTqGg,20.0,4762,1,5,1,5.990816348,27,991985.0,2710.0,2.0,165584.2781,0.27318961476232,0.0002016159518541,0.2733912307141741,24.03733802,0.2710799968155658
8xpKjU--7Cc,20.0,949,10,2,0,5.964760383,24,486587.0,10564.0,612.0,81576.95679,2.171040327834488,0.1257740136912823,2.2968143415257702,23.99708642,1.5365444718539945
9JPCuhpy_mo,1.0,163,3,0,0,5.899131969,5,145088.0,6535.0,187.0,24594.80492,4.504162990736656,0.1288872959858844,4.633050286722541,23.92160945,2.559889819946931
9tWj5Xum4u4,20.0,20190,17,6,1,5.911241706,36,5633249.0,259612.0,824.0,952972.1978,4.608566033562514,0.0146274379137155,4.62319347147623,24.01259909,4.526220705785699
9uxF8ZLlF1U,20.0,608,5,5,1,5.846073443,25,243210.0,21539.0,1238.0,41602.28269,8.856132560338802,0.5090251223222729,9.365157682661076,24.06070296,7.824816934096275
AFX6jRInZ3k,24.0,556,15,6,1,5.88670721,23,42727.0,2032.0,163.0,7258.217281,4.755775036861937,0.3814917967561495,5.137266833618087,23.98731643,3.880727312408779
AaX76fg5iyw,20.0,24874,23,0,0,5.910807456,33,538836.0,27179.0,17.0,91161.14913,5.044020815238774,0.003154948815595,5.047175764054369,20.29166119,4.820532430104736
B8AkUG3WwI4,20.0,18676,16,6,1,5.883713643,27,1087435.0,40591.0,234.0,184821.1973,3.7327288527590152,0.021518527544175,3.754247380303191,23.98446999,3.739401120344992
BACPg56lBXw,24.0,1189,9,5,1,5.87897588,27,120519.0,14436.0,819.0,20499.99906,11.978194309610933,0.6795608991113434,12.657755208722277,23.92838907,8.534776061130014
C4OsGJWZECo,20.0,18046,15,1,0,5.863735354,24,547068.0,2860.0,0.0,93296.84356,0.5227869295955896,0.0,0.5227869295955896,18.0497992,0.522843567251462
CSXhb2zhfLc,24.0,180,12,2,0,5.908709152,25,1570856.0,164375.0,5941.0,265854.3448,10.464039988388496,0.3782014392153068,10.842241427603804,23.94149887,6.064287252655244
CXwDCoNbgAk,20.0,12176,15,4,0,5.987136022,26,264454.0,11649.0,77.0,44170.36777,4.404924864059534,0.0291165949465691,4.434041459006103,20.69055458,4.328774062816616
C_jO3KS_NcE,20.0,3354,9,0,0,5.971496454,9,194377.0,17917.0,1424.0,32550.80222,9.21765435210956,0.7325969636325286,9.950251315742088,24.02966945,6.73384272756133
CdqpeUl_qy0,20.0,2055,7,3,0,5.991180923,14,124532.0,5253.0,367.0,20785.88539,4.218192914271031,0.29470336941509,4.51289628368612,24.03014551,2.3122138148280453
Cs1JqqYzBpM,24.0,770,17,2,0,5.940231182,22,39790.0,2856.0,96.0,6698.3925,7.177682834883137,0.2412666499120382,7.418949484795174,23.97538095,5.521074571560908
D1i030fPhhE,10.0,131,13,2,0,5.960829221,10,54367.0,2032.0,56.0,9120.710892,3.737561388342193,0.1030036603086431,3.840565048650836,23.99423648,2.412247769145043
D7rqGuPYET0,24.0,1177,9,5,1,5.976785671,19,408722.0,38057.0,1952.0,68384.91834,9.311218872485457,0.4775862322067322,9.788805104692187,24.0263284,6.199281197219058
DnCRnZhlK04,22.0,602,13,4,0,5.996294437,5,14769.0,1122.0,156.0,2463.021147,7.59699370302661,1.0562665041641277,8.653260207190737,22.03589418,5.990659929566682
DpKtP6Y0Kh8,20.0,3911,2,2,0,5.908416034,26,1369270.0,4015.0,2.0,231749.0834,0.2932219357759974,0.0001460632307726,0.29336799900677,23.93928556,0.2914981530420055
DsShPh5g-3k,10.0,76,2,5,1,5.926794486,17,269033.0,1451.0,17.0,45392.66557,0.5393390401920953,0.006318927417826,0.5456579676099215,23.97335277,0.4215348871768942
DvYQdWllKLQ,20.0,986,9,4,0,4.26001971,1,77725.0,2606.0,914.0,18245.22075,3.352846574461241,1.1759408169829528,4.528787391444195,18.1276452,2.902805960359917
DxhIHFmOC-Q,20.0,17856,15,1,0,5.874927682,23,2042142.0,86770.0,88.0,347602.9171,4.248969954097218,0.0043092008293252,4.253279154926543,24.07155633,4.169075815682565
EIiYddCwsEs,20.0,774,11,0,0,5.854899962,27,329823.0,6739.0,409.0,56332.81562,2.0432171194853,0.1240059061981729,2.1672230256834726,24.08135119,1.5535379646630156
ElC7H5onz2M,20.0,15645,16,5,1,5.883750054,30,427021.0,16253.0,201.0,72576.33246,3.806135997995415,0.0470702845995864,3.853206282595001,20.25811279,3.778964145202456
F1izVdVJi2E,1.0,303,4,0,0,5.990303321,1,271031.0,6593.0,219.0,45244.9543,2.432563064741672,0.0808025650202375,2.513365629761909,24.04699602,0.8803683784017873
G5hWlD5zfhw,1.0,279,13,5,1,5.915140648,19,7584273.0,369412.0,24239.0,1282179.656,4.870763486493695,0.3195955630816559,5.190359049575352,24.00590437,2.95206411442745
GZbPgbgdKSY,20.0,744,12,5,1,5.848251209,17,388484.0,6905.0,536.0,66427.37908,1.7774219787687524,0.1379722202201377,1.91539419898889,23.95853993,1.50515987749951
G_c1VR9_d8w,20.0,17101,15,2,0,5.910218006,31,1754342.0,76624.0,140.0,296832.0286,4.367677453996997,0.0079801999838115,4.3756576539808085,23.94492484,4.232420369779711
GaAhn9brjG0,10.0,211,7,0,0,5.965381283,5,192921.0,59692.0,6760.0,32340.09544,30.941162444731265,3.504024963586131,34.445187408317395,24.02350797,20.037423018715256
HRrixN1F1Xk,20.0,1617,11,1,0,5.962971497,10,96674.0,1114.0,158.0,16212.38674,1.1523263752404989,0.1634358772782754,1.3157622525187744,29.44696482,0.8992175121057047
HxpinH3U4dQ,24.0,525,12,5,1,5.945143362,9,36671.0,3915.0,346.0,6168.228042,10.676011016879825,0.9435248561533638,11.619535873033186,23.99577434,7.388262140104548
I2oSBgzpKDo,24.0,482,15,5,1,5.959468527,20,67812.0,3704.0,230.0,11378.86704,5.462160089659647,0.3391730077272459,5.801333097386893,24.05082051,5.010578072867452
IAGaOmXLLHI,24.0,293,16,5,1,5.887662015,21,399664.0,21511.0,1621.0,67881.61396,5.382271107730493,0.4055906961847952,5.7878618039152885,23.97903284,4.242818638310442
IxW0fWmlTBE,1.0,743,9,5,1,5.996925762,24,186019.0,13546.0,647.0,31019.05999,7.282051833414867,0.3478139329853402,7.629865766400207,24.04635612,5.370031781870836
Iy5drTq1bUo,10.0,3287,10,4,0,0.266481977,2,538106.0,2231.0,30.0,2019296.033,0.4146023274224781,0.0055751097367433,0.4201774371592214,27.16821295,0.4289255348718553
JN5hLtrZvBw,20.0,2666,7,0,0,5.960894614,17,561333.0,25641.0,4160.0,94169.25417,4.567876821779585,0.7410930766585966,5.308969898438182,23.98384529,3.6763995247272585
JTERL_QXmb4,20.0,4531,2,3,0,5.842844047,33,1396107.0,4678.0,1.0,238943.0539,0.3350746038806481,7.16277477299376e-05,0.335146231628378,24.04750953,0.3325959013477756
JpUxjVTrWsE,20.0,42716,23,6,1,5.998127892,36,1653277.0,76648.0,39.0,275632.1689,4.636125706702507,0.0023589513433018,4.638484658045808,24.01971714,4.512357513198032
L7f5KSlw1Xc,10.0,1591,22,6,1,5.887198268,17,155963.0,2291.0,112.0,26491.88849,1.468938145585812,0.0718119041054609,1.540750049691273,23.98989108,0.8301277775712421
LIBY63mGm5o,10.0,1623,22,6,1,5.871167379,4,65674.0,1011.0,80.0,11185.8504,1.5394219934829614,0.1218138075950909,1.6612358010780524,24.05942738,1.387414708112206
MBjTtKHM76g,20.0,5466,2,0,0,5.886303874,29,989976.0,2439.0,1.0,168182.9585,0.2463696089602172,0.0001010125497991,0.2464706215100164,23.99097629,0.2448893857366323
NGGYcA_n-tQ,10.0,1810,16,3,0,5.848015018,27,98834.0,14771.0,1365.0,16900.4354,14.945261752028657,1.381103668777951,16.326365420806603,24.05729925,9.104657730425094
NNbwlPTolmc,20.0,650,9,1,0,5.870025263,16,92576.0,3185.0,492.0,15770.97131,3.440416522640857,0.5314552367784307,3.971871759419288,24.06528662,2.9187832867984405
O6c0O5M46Cw,24.0,111,10,1,0,5.913425761,23,399842.0,19577.0,589.0,67615.96681,4.896183992677107,0.1473081867337598,5.043492179410867,23.94189846,2.863390578717189
ODYYEFhFlNA,20.0,2075,8,3,0,5.967890457,10,126440.0,1678.0,88.0,21186.71596,1.3271116735210375,0.0695982284087314,1.396709901929769,24.03744972,1.1426877201136278
OblfDuD_oN4,1.0,101,13,1,0,5.935550083,9,220576.0,18270.0,1394.0,37161.84632,8.28285942260264,0.6319817205861018,8.914841143188742,27.07890926,6.739921070958756
P35YokytTsk,10.0,4794,6,3,0,5.995665532,16,106983.0,35481.0,1551.0,17843.39027,33.165082302795774,1.4497630464653264,34.614845349261095,24.03481432,9.84992805049547
P3crcT7PoFw,24.0,410,14,5,1,5.839721109,25,137503.0,8892.0,390.0,23546.1587,6.466767997789138,0.2836301753416289,6.750398173130769,23.93075874,4.868335957710044
Q1jj6QJs2mw,10.0,1975,16,3,0,5.851903907,16,91916.0,9941.0,1528.0,15707.02484,10.815309630532225,1.6623873971887375,12.477697027720962,24.06118814,7.4569425237946545
Q6AQ5d86muY,20.0,1190,8,4,0,5.927577174,10,466907.0,10726.0,765.0,78768.60752,2.2972454900012207,0.1638441916698614,2.4610896816710826,23.97185726,1.718584520464392
QnQnz9G2LNw,10.0,192,14,6,1,5.977178487,18,964569.0,106432.0,3444.0,161375.3048,11.034151004230903,0.3570506620055175,11.391201666236425,24.07783,3.69331338520424
R7ZbszVLFQs,24.0,667,13,4,0,5.901405514,16,2394989.0,227565.0,56932.0,405833.6602,9.50171378657689,2.377129915836774,11.878843702413665,23.77878942,7.65983030999161
R7bpMTrzM8Q,20.0,691,4,5,1,5.763444086,4,152209.0,2738.0,713.0,26409.38261,1.7988423811995349,0.4684348494504267,2.2672772306499613,23.97783431,1.6489930289139405
RpYRP1PloN0,20.0,42901,21,2,0,5.871298031,30,10497452.0,169265.0,531.0,1787926.953,1.61243890422171,0.0050583703550156,1.617497274576726,22.57141981,1.5807630173612504
SFrKBnj13qI,10.0,158,5,2,0,5.937178202,21,147912.0,10121.0,295.0,24912.84495,6.842582075828871,0.1994429120017307,7.042024987830602,23.96874274,3.677311668894813
SGwDQTrSOVI,20.0,4859,10,0,0,5.980509724,23,1325645.0,4319.0,1.0,221660.8719,0.3258036653855293,7.54349769357558e-05,0.325879100362465,24.00417565,0.3255089045573509
TDQFSt1SoRQ,20.0,2012,13,1,0,5.922192069,15,473886.0,37024.0,3251.0,80018.68133,7.8128495038891215,0.686029973453531,8.498879477342653,23.9511515,5.302311659431787
TN233BX2858,20.0,5399,2,0,0,5.995848568,31,998587.0,1769.0,0.0,166546.401,0.177150313392824,0.0,0.177150313392824,24.01822327,0.1758707705181731
TXNKNhECzGc,20.0,793,12,6,1,5.952586528,20,417795.0,7991.0,662.0,70187.13596,1.912660515324501,0.1584509149223901,2.071111430246892,23.97202964,1.646797769513807
TbixB4Z7ItE,20.0,611,14,5,1,5.879048318,24,320722.0,22015.0,1345.0,54553.38733,6.864200148415138,0.4193663047748517,7.283566453189991,23.97005861,6.189622755610287
UIvrE42V3js,20.0,787,11,1,0,5.965783148,8,143348.0,2191.0,141.0,24028.36249,1.528448251806792,0.0983620280715461,1.626810279878338,24.82914169,1.2643111006228591
UnhYUix1o1o,20.0,871,9,0,0,5.990699627,6,357221.0,7777.0,475.0,59629.2624,2.177083654096484,0.1329709059657746,2.3100545600622584,24.01421012,1.642383558245
W3ozM_29SuQ,20.0,14013,15,6,1,5.92683496,24,316906.0,11243.0,191.0,53469.68528,3.547739708304671,0.0602702378623314,3.608009946167002,21.35251812,3.5339785943588846
Wdk0XLVG8Pw,20.0,597,11,0,0,5.852241421,18,309328.0,5946.0,497.0,52856.32936,1.9222314177830653,0.1606708736357523,2.0829022914188178,24.04312916,1.651683789954338
X1aFkAkFASk,24.0,130,4,5,1,5.833193674,26,10959960.0,791732.0,36734.0,1878895.269,7.223858481235333,0.3351654568082365,7.55902393804357,24.04741069,5.315795293587737
XDnJMobI9pU,24.0,170,13,1,0,5.891358736,19,159175.0,9185.0,319.0,27018.38525,5.770378514213916,0.2004083555834773,5.970786869797393,23.92031817,4.090679692708365
XZyZsfWXl1g,20.0,1751,3,6,1,5.997161738,16,132257.0,2483.0,544.0,22053.26549,1.8774053547260257,0.4113203837982111,2.288725738524237,24.04820485,1.788599033816425
XlnWhGryw80,24.0,674,9,5,1,5.963591161,9,23120.0,2156.0,120.0,3876.858654,9.325259515570934,0.5190311418685121,9.844290657439446,24.01331699,5.948677431567165
YAOmReDFGus,24.0,519,15,5,1,5.919225006,22,352363.0,21951.0,1226.0,59528.56998,6.229655213515607,0.3479366448804216,6.577591858396029,24.0105077,5.550168512529679
